2025-12-13 09:08:57,362 | INFO | Starting service extraction
2025-12-13 09:08:57,363 | INFO | Loading YAML: D:\3GPP_API_ASSIGNMENT\yamls\TS24283_Lms_Information.yaml
2025-12-13 09:08:57,399 | INFO | Extracted endpoint: POST /requests
2025-12-13 09:08:57,399 | INFO | Extracted endpoint: POST /subscriptions
2025-12-13 09:08:57,399 | INFO | Extracted endpoint: PUT /subscriptions/{subscriptionId}
2025-12-13 09:08:57,399 | INFO | Extracted endpoint: DELETE /subscriptions/{subscriptionId}
2025-12-13 09:08:57,399 | INFO | Extracted endpoint: POST /configrequest
2025-12-13 09:08:57,401 | INFO | Services saved
2025-12-13 09:08:57,402 | INFO | Summary saved successfully
2025-12-13 12:25:28,528 | INFO | Starting service extraction
2025-12-13 12:25:28,528 | INFO | Loading YAML: 3GPP_API_ASSIGNMENT\yamls\TS24549_NSCE_SliceInfo.yaml
2025-12-13 12:25:28,539 | INFO | Extracted endpoint: POST /edn-slice-subscriptions
2025-12-13 12:25:28,539 | INFO | Extracted endpoint: POST /plmn-slice-subscriptions
2025-12-13 12:25:28,539 | INFO | Extracted endpoint: POST /ns-info-subscriptions
2025-12-13 12:25:28,540 | INFO | Services saved
2025-12-13 12:25:28,540 | INFO | Summary saved successfully
2025-12-13 12:29:39,047 | INFO | Starting service extraction
2025-12-13 12:29:39,047 | INFO | Loading YAML: 3GPP_API_ASSIGNMENT\yamls\TS24558_Eees_EECRegistration.yaml
2025-12-13 12:29:39,069 | INFO | Extracted endpoint: POST /registrations
2025-12-13 12:29:39,069 | INFO | Extracted endpoint: PUT /registrations/{registrationId}
2025-12-13 12:29:39,069 | INFO | Extracted endpoint: DELETE /registrations/{registrationId}
2025-12-13 12:29:39,069 | INFO | Extracted endpoint: PATCH /registrations/{registrationId}
2025-12-13 12:29:39,070 | INFO | Services saved
2025-12-13 12:29:39,070 | INFO | Summary saved successfully
2025-12-13 12:33:26,687 | INFO | Starting service extraction
2025-12-13 12:33:26,687 | INFO | Loading YAML: 3GPP_API_ASSIGNMENT\yamls\TS24558_Eees_EECRegistration.yaml
2025-12-13 12:33:26,728 | INFO | Extracted endpoint: POST /registrations
2025-12-13 12:33:26,728 | INFO | Extracted endpoint: PUT /registrations/{registrationId}
2025-12-13 12:33:26,728 | INFO | Extracted endpoint: DELETE /registrations/{registrationId}
2025-12-13 12:33:26,728 | INFO | Extracted endpoint: PATCH /registrations/{registrationId}
2025-12-13 12:33:26,730 | INFO | Services saved
2025-12-13 12:33:26,731 | INFO | Summary saved successfully
2025-12-13 12:34:14,384 | INFO | Starting service extraction
2025-12-13 12:34:14,384 | INFO | Loading YAML: 3GPP_API_ASSIGNMENT\yamls\TS24558_Eees_EECRegistration.yaml
2025-12-13 12:34:14,429 | INFO | Extracted endpoint: POST /registrations
2025-12-13 12:34:14,429 | INFO | Extracted endpoint: PUT /registrations/{registrationId}
2025-12-13 12:34:14,430 | INFO | Extracted endpoint: DELETE /registrations/{registrationId}
2025-12-13 12:34:14,430 | INFO | Extracted endpoint: PATCH /registrations/{registrationId}
2025-12-13 12:34:14,431 | INFO | Services saved
2025-12-13 12:34:14,432 | INFO | Summary saved successfully
2025-12-13 12:34:22,856 | INFO | Starting service extraction
2025-12-13 12:34:22,857 | INFO | Loading YAML: 3GPP_API_ASSIGNMENT\yamls\TS24558_Eees_EECRegistration.yaml
2025-12-13 12:34:22,894 | INFO | Extracted endpoint: POST /registrations
2025-12-13 12:34:22,894 | INFO | Extracted endpoint: PUT /registrations/{registrationId}
2025-12-13 12:34:22,894 | INFO | Extracted endpoint: DELETE /registrations/{registrationId}
2025-12-13 12:34:22,894 | INFO | Extracted endpoint: PATCH /registrations/{registrationId}
2025-12-13 12:34:22,896 | INFO | Services saved
2025-12-13 12:34:22,897 | INFO | Summary saved successfully
2025-12-13 12:34:35,888 | INFO | Starting service extraction
2025-12-13 12:34:35,888 | INFO | Loading YAML: 3GPP_API_ASSIGNMENT\yamls\TS24558_Eees_EECRegistration.yaml
2025-12-13 12:34:35,925 | INFO | Extracted endpoint: POST /registrations
2025-12-13 12:34:35,926 | INFO | Extracted endpoint: PUT /registrations/{registrationId}
2025-12-13 12:34:35,926 | INFO | Extracted endpoint: DELETE /registrations/{registrationId}
2025-12-13 12:34:35,926 | INFO | Extracted endpoint: PATCH /registrations/{registrationId}
2025-12-13 12:34:35,928 | INFO | Services saved
2025-12-13 12:34:35,928 | INFO | Summary saved successfully
